Review,Comments,Ratings,Locations,Time,Positive_Score,Negative_Score,Neutral_Score,Sentiment,Subjectivity_Score
Does the job,Good,3, Jajapur District,nan,0.4404,0,0.4404,Positive,0.6000000000000001
Must buy!,Awesome,5, Murshidabad District,8 months ago,0.6249,0,0.6249,Positive,1.0
Super!,Superb Phone ,5, Rampurhat,8 months ago,0.8402,0,0.8402,Positive,0.8333333333333333
Excellent,Best phone.. Picture quality ossam...,5, Konnagar,8 months ago,0.836,0,0.836,Positive,0.65
Value-for-money,Camera quality gud,4, Udham Singh Nagar District,8 months ago,0.0,0,0.0,Neutral,0.0
Fabulous!,Just go for it,5, Aurangabad,7 months ago,0.5267,0,0.5267,Positive,1.0
Fabulous!,Nice product...,5, Pudukkottai District,7 months ago,0.7351,0,0.7351,Positive,1.0
Good quality product,Camera quality too good,4, Varkala,8 months ago,0.7003,0,0.7003,Positive,0.6000000000000001
Mind-blowing purchase,"Excellent phone, smooth ui, great sound, awesome camera. Always MI Fan.",5, Surat,8 months ago,0.9349,0,0.9349,Positive,0.73
Just wow!,I am so happy happy this mobile phone ,5, Alandi,8 months ago,0.9042,0,0.9042,Positive,1.0
Just wow!,"Very nice phone, camera very good.",5, Faridabad,nan,0.8591,0,0.8591,Positive,0.8666666666666667
Highly recommended,Very much satisfied with this Redmi note 12pro..,5, Sainthia,8 months ago,0.6318,0,0.6318,Positive,0.77
Good quality product,"I am writing this review after 12 days of usage. This phone looks very decent, light weight, no heating problem, display is fine, smooth operations, charging is fast but not actually in 15 minutes. It will be 80% from 10 within 15 minutes that's for sure. And yes, vedio and sound quality is awsome. I love watching movies at this rather than my lappy. I am a little disappointed with the camera, it's just better than average. Front camera is also same. Battery backup is one day considering no...",4, Bardhaman,8 months ago,0.8759,0,0.8759,Positive,0.5503968253968254
Perfect product!,I will say that you can go with this beast best phone Bgmi settings smooth extreme and HDR ultra,5, Baleshwar,7 months ago,0.836,0,0.836,Positive,0.7
Perfect product!,"The phone runs very smoothly, the main camera takes very good photos. The display is one of the best in this segment. With a 67 watt charger in the box the phone charges within 20 mins. A value for money phone",5, Jhansi,7 months ago,0.9022,0,0.9022,Positive,0.5583333333333333
Must buy!,The feeL yoU are Going to have when yoau get this Is on another leveL#premiumness.,5, Akaltara,7 months ago,0.0,0,0.0,Neutral,0.0
Best in the market!,Go for this one.,5, Barrackpore,7 months ago,0.6369,0,0.6369,Positive,0.3
Does the job,"Overall I'm happy with the phone's performance. Love the design, the display is outstanding! Much better camera and love the Dolby Atmos feature. You can clearly feel the difference when the headset is on. I felt like the camera smoothens the skin when taking photos in the direct sunlight and doesn't look natural at all.and yes the macro camera is below average.*Editing the review after 3 months - the phone crashes sometimes especially when taking the pictures in night-time mode, and reboots...",3, Kozhikode,7 months ago,0.9771,0,0.9771,Positive,0.5758333333333334
Perfect product!,"One of the best camera, even in low lightFull charged in just 35 to 40minSimply it's legendary kingTotally 9/10 points",5, Vijayawada,7 months ago,0.7184,0,0.7184,Positive,0.65
Mind-blowing purchase,i am saurabh thank you redmi redmi mobile the best companycamera sensor Sony lens powerful camera,5, Begusarai,6 months ago,0.8591,0,0.8591,Positive,0.65
Very Good,"Really Nice Phone.. Camera ,Display Super. Design  also Very nice",4, Jalpaiguri,nan,0.9183,0,0.9183,Positive,0.8166666666666667
Great product,Awesome product and performance also ,5, Dibrugarh,8 months ago,0.8481,0,0.8481,Positive,0.875
Great product,Nice performance nice camera,5, Medinipur,7 months ago,0.8658,0,0.8658,Positive,0.9166666666666666
Just okay,Very nice Device Redmi note 12 pro.,3, District Giridih,6 months ago,0.5719,0,0.5719,Positive,0.75
Good choice,This is a very good mobile.. Design is great and display and profemance is also good..and camera also good,4, Bhubaneswar,7 months ago,0.9153,0,0.9153,Positive,0.6375000000000001
Terrific,Super go for it ,5, Adilabad,2 months ago,0.7906,0,0.7906,Positive,0.8333333333333333
Really Nice,Screen plus Camera is super.,4, Bengaluru,7 months ago,0.7902,0,0.7902,Positive,0.8333333333333333
Excellent,Awsome.. look very nice I love it.... Best phone,5, Pimpri Chinchwad,7 months ago,0.9423,0,0.9423,Positive,0.725
Really Nice,"It' really a good device. I am very happy with this redmi note 12 pro. Camera is excellent, sound quality is also very good, Everything is perfect in this phone. I'm sure you will not regret after but this phone. Again camera is superb",4, Tehri Garhwal,7 months ago,0.9776,0,0.9776,Positive,0.8320987654320988
Perfect product!,Mind blowing  phone ,5, Baleshwar,7 months ago,0.5719,0,0.5719,Positive,1.0
Highly recommended,Got it today and till now getting impressive all-round performance,5, Kolkata,nan,0.659,0,0.659,Positive,0.77
Must buy!,"very awesome phone camera very impressiveReal Camera 5/5Front camera 4.5 Night mood ois very nice  5/5Battery backup 5/5Charge very fast, 67 watt 40 min full Display very good 5/5",5, Lakhisarai District,8 months ago,0.8689,0,0.8689,Positive,0.7500000000000001
Super!,Review after 10 days of usesPros1. 120 hrz amoled display is just outstanding. Also in daylight conditions no visibility issue. 2.the dual dolby atmos speaker is just awesome. Its too much loud. And produce bassy sound. 3. 50 mp camera also very good. In daylight conditions it take verry good photo. And in night it's also perform good. Selfie camera also good. 4.batteey is good. Can run a day easily with heavy usage. 67 wat charger take max 30 min to charge it full. 5.performane also go...,5, Balurghat,7 months ago,0.9816,0,0.9816,Positive,0.6493055555555555
Must buy!,Amazing mobile I will give this 10/10 score for all over features. Budget friendly mobile in this price range.super note and top note series mobile.,5, Jalna District,7 months ago,0.8316,0,0.8316,Positive,0.6333333333333333
Value-for-money,Get it todayLooking very impressiveGood cameraDesign is also very nice But the delivery person was a very rude and very bad behaviour,4, Patna,8 months ago,-0.5719,0.5719,0.0,Negative,0.7555555555555555
Super!,Great phone by Xiaomi. Loved it.Awesome smartphone in all aspects,5, Raya,8 months ago,0.9169,0,0.9169,Positive,0.7388888888888889
Classy product,Best phone .. performance is too good and display quality is also too good camara is also good .....this is a alrounder phone ...but after discount the price of this phone is ok but without discount this phone is overpriced....,5, Baleshwar,7 months ago,0.9517,0,0.9517,Positive,0.5833333333333334
Terrific purchase,Nice productIt's a wonderful handset in this rangeCamera:- excellentBattery:- goodDisplay:- amazingPerformance:- excellent,5, Chennai,8 months ago,0.9231,0,0.9231,Positive,1.0
Worth every penny,Mobile is outstanding.but this colour is goes to ladies,5, Mohiuddinagar,8 months ago,0.2263,0,0.2263,Positive,0.1
Highly recommended,"Best value for money phone. Display, Camera, Battery, Multimedia experience are very good..",5, Kizhuvalam Koonthalloor,8 months ago,0.9029,0,0.9029,Positive,0.48
Value-for-money,"I have been using the phone for almost 2 months now. So overall I really love the phone. The fast charging feature is awesome, but it doesn't fully charge the phone in 15 minutes, its takes a bit more time. The camera is also good,but one thing is that the camera alters the colour distinctly from the actual colour. The display and the sound qualities of the phone is so far my fav. Amazing experience watching series and movies!!!",4, Tezpur,nan,0.9468,0,0.9468,Positive,0.5750000000000001
Mind-blowing purchase,"Really Awesome Smartphone By Redmi. Best price range. Value for money. I Have also like Redmi Note series, I have used All Note Series Smartphones Of Redmi. Redmi is Also Make Something New For Their Customer. Look At The Beauty Of Redmi Note 12 PRO 5G",5, Umbarpada Nandade,6 months ago,0.9538,0,0.9538,Positive,0.5848484848484848
Nice product,"Overall performance is good. The camera is average. Screen performance, i.e, display is really good. Battery performance is also fine.",4, Kolkata,8 months ago,0.8555,0,0.8555,Positive,0.5166666666666667
Just wow!,"Very cool product, Only gets heat while fast charging rest us use how much you can but nobody can beat this smartphone.",5, Greater Noida,7 months ago,0.7269,0,0.7269,Positive,0.6125
